run_id,bucket,subject,pattern_type,llm_magnitude_bps,shadow_magnitude_bps
a9d5d2b3-7569-4926-9546-ae7283f0424a,llm_only,BTC_USD_SPOT,logical_inconsistency,500,
b1f8d824-5853-4632-98c9-d93b4b54ab8b,llm_only,BTC_USD_SPOT,implied_contradiction,9470,
b1f8d824-5853-4632-98c9-d93b4b54ab8b,llm_only,UNKNOWN,movement_divergence,970,
8fcc176e-bb93-4dbc-8477-7d52c5e620bc,llm_only,BTC_USD_SPOT,implied_contradiction,9470,
8fcc176e-bb93-4dbc-8477-7d52c5e620bc,llm_only,UNKNOWN,movement_divergence,970,
7e57dd93-8d25-4321-8fc3-2b983613105c,llm_only,BTC_USD_SPOT,implied_contradiction,9470,
7e57dd93-8d25-4321-8fc3-2b983613105c,llm_only,UNKNOWN,movement_divergence,970,
838a28d1-858d-454a-b3c5-f3860e0beb51,llm_only,BTC_USD_SPOT,implied_contradiction,9470,
838a28d1-858d-454a-b3c5-f3860e0beb51,llm_only,UNKNOWN,movement_divergence,970,
b1c0aad9-bf73-4811-a2de-e7f9c8d83b15,llm_only,BTC_USD_SPOT,implied_contradiction,9470,
b1c0aad9-bf73-4811-a2de-e7f9c8d83b15,llm_only,UNKNOWN,movement_divergence,970,
0b2678c9-55fb-4da9-9361-372a94ae04c5,llm_only,BTC_USD_SPOT,implied_contradiction,9470,
0b2678c9-55fb-4da9-9361-372a94ae04c5,llm_only,UNKNOWN,movement_divergence,970,
5aa1516f-54af-48ee-ab7c-0d07ccef1c0e,llm_only,BTC_USD_SPOT,implied_contradiction,9470,
5aa1516f-54af-48ee-ab7c-0d07ccef1c0e,llm_only,UNKNOWN,movement_divergence,970,
8faa44ea-8d7a-41cb-93ba-eca1eb3f4c60,llm_only,UNKNOWN,implied_contradiction,5725,
25aaaf40-b473-4acd-a0c6-dc84a8639c4d,llm_only,UNKNOWN,movement_divergence,405,
f21b99c6-8c2b-497e-960b-1c274291aff9,llm_only,UNKNOWN,movement_divergence,415,
4f3d4cd8-c621-4615-886a-77f195513d5c,llm_only,UNKNOWN,movement_divergence,415,
822654a3-1a34-46bb-9989-9f084c2a8407,llm_only,UNKNOWN,movement_divergence,415,
9fe889e1-3e88-4967-b808-b232a807f483,llm_only,UNKNOWN,movement_divergence,415,
492b9135-d87f-4384-afce-66c0b4092e07,llm_only,UNKNOWN,movement_divergence,120,
492b9135-d87f-4384-afce-66c0b4092e07,llm_only,UNKNOWN,movement_divergence,70,
a00e0dcc-2a5c-445f-9067-bbd32e28e236,llm_only,UNKNOWN,movement_divergence,120,
a00e0dcc-2a5c-445f-9067-bbd32e28e236,llm_only,UNKNOWN,movement_divergence,70,
